Mushroom_ID;Original_Index;Tree_Name;Node_ID;Path_Step;Is_On_Path;Is_Final_Leaf_For_Mushroom;Tree_Vote;Decision_Direction;Decision_Value;Next_Node_ID
M02;917;Tree 2;4;4;1;1;Edible;;;
M02;917;Tree 3;0;0;1;0;Edible;False;True;10
M02;917;Tree 3;10;1;1;0;Edible;True;False;11
M02;917;Tree 3;11;2;1;0;Edible;False;True;15
M02;917;Tree 3;15;3;1;0;Edible;False;True;17
M02;917;Tree 3;17;4;1;1;Edible;;;
M02;917;Tree 4;0;0;1;0;Edible;True;False;1
M02;917;Tree 4;1;1;1;0;Edible;True;False;2
M02;917;Tree 4;2;2;1;0;Edible;False;True;6
M02;917;Tree 4;6;3;1;1;Edible;;;
M02;917;Tree 5;0;0;1;0;Edible;True;False;1
M02;917;Tree 5;1;1;1;0;Edible;True;False;2
M02;917;Tree 5;2;2;1;0;Edible;True;False;3
M02;917;Tree 5;3;3;1;0;Edible;False;True;5
M02;917;Tree 5;5;4;1;1;Edible;;;
M02;917;Tree 6;0;0;1;0;Edible;False;True;12
M02;917;Tree 6;12;1;1;0;Edible;True;False;13
M02;917;Tree 6;13;2;1;0;Edible;False;True;17
M02;917;Tree 6;17;3;1;0;Edible;False;True;19
M02;917;Tree 6;19;4;1;1;Edible;;;
M02;917;Tree 7;0;0;1;0;Edible;False;True;10
M02;917;Tree 7;10;1;1;0;Edible;True;False;11
M02;917;Tree 7;11;2;1;0;Edible;True;False;12
M02;917;Tree 7;12;3;1;0;Edible;False;True;14
M02;917;Tree 7;14;4;1;1;Edible;;;
M02;917;Tree 8;0;0;1;0;Edible;True;False;1
M02;917;Tree 8;1;1;1;0;Edible;True;False;2
M02;917;Tree 8;2;2;1;1;Edible;;;
M02;917;Tree 9;0;0;1;0;Edible;False;True;14
M02;917;Tree 9;14;1;1;0;Edible;False;True;20
M02;917;Tree 9;20;2;1;1;Edible;;;
M03;1051;Tree 1;0;0;1;0;Edible;True;False;1
M03;1051;Tree 1;1;1;1;0;Edible;True;False;2
M03;1051;Tree 1;2;2;1;0;Edible;True;False;3
M03;1051;Tree 1;3;3;1;0;Edible;True;False;4
M03;1051;Tree 1;4;4;1;1;Edible;;;
M03;1051;Tree 2;0;0;1;0;Edible;True;False;1
M03;1051;Tree 2;1;1;1;0;Edible;True;False;2
M03;1051;Tree 2;2;2;1;0;Edible;True;False;3
M03;1051;Tree 2;3;3;1;0;Edible;True;False;4
M03;1051;Tree 2;4;4;1;1;Edible;;;
M03;1051;Tree 3;0;0;1;0;Edible;False;True;10
M03;1051;Tree 3;10;1;1;0;Edible;False;True;18
M03;1051;Tree 3;18;2;1;0;Edible;True;False;19
M03;1051;Tree 3;19;3;1;1;Edible;;;
M03;1051;Tree 4;0;0;1;0;Edible;True;False;1
M03;1051;Tree 4;1;1;1;0;Edible;True;False;2
M03;1051;Tree 4;2;2;1;0;Edible;False;True;6
M03;1051;Tree 4;6;3;1;1;Edible;;;
M03;1051;Tree 5;0;0;1;0;Edible;True;False;1
M03;1051;Tree 5;1;1;1;0;Edible;True;False;2
M03;1051;Tree 5;2;2;1;0;Edible;True;False;3
M03;1051;Tree 5;3;3;1;0;Edible;False;True;5
M03;1051;Tree 5;5;4;1;1;Edible;;;
M03;1051;Tree 6;0;0;1;0;Edible;False;True;12
M03;1051;Tree 6;12;1;1;0;Edible;True;False;13
M03;1051;Tree 6;13;2;1;0;Edible;False;True;17
M03;1051;Tree 6;17;3;1;0;Edible;False;True;19
M03;1051;Tree 6;19;4;1;1;Edible;;;
M03;1051;Tree 7;0;0;1;0;Edible;False;True;10
M03;1051;Tree 7;10;1;1;0;Edible;True;False;11
M03;1051;Tree 7;11;2;1;0;Edible;True;False;12
M03;1051;Tree 7;12;3;1;0;Edible;True;False;13
M03;1051;Tree 7;13;4;1;1;Edible;;;
M03;1051;Tree 8;0;0;1;0;Edible;True;False;1
M03;1051;Tree 8;1;1;1;0;Edible;True;False;2
M03;1051;Tree 8;2;2;1;1;Edible;;;
M03;1051;Tree 9;0;0;1;0;Edible;True;False;1
M03;1051;Tree 9;1;1;1;0;Edible;True;False;2
M03;1051;Tree 9;2;2;1;0;Edible;True;False;3
M03;1051;Tree 9;3;3;1;0;Edible;True;False;4
M03;1051;Tree 9;4;4;1;1;Edible;;;
M04;1545;Tree 1;0;0;1;0;Edible;True;False;1
M04;1545;Tree 1;1;1;1;0;Edible;True;False;2
M04;1545;Tree 1;2;2;1;0;Edible;True;False;3
M04;1545;Tree 1;3;3;1;0;Edible;True;False;4
M04;1545;Tree 1;4;4;1;1;Edible;;;
M04;1545;Tree 2;0;0;1;0;Edible;True;False;1
M04;1545;Tree 2;1;1;1;0;Edible;True;False;2
M04;1545;Tree 2;2;2;1;0;Edible;True;False;3
M04;1545;Tree 2;3;3;1;0;Edible;True;False;4
M04;1545;Tree 2;4;4;1;1;Edible;;;
M04;1545;Tree 3;0;0;1;0;Edible;False;True;10
M04;1545;Tree 3;10;1;1;0;Edible;True;False;11
M04;1545;Tree 3;11;2;1;0;Edible;False;True;15
M04;1545;Tree 3;15;3;1;0;Edible;False;True;17
M04;1545;Tree 3;17;4;1;1;Edible;;;
M04;1545;Tree 4;0;0;1;0;Edible;True;False;1
M04;1545;Tree 4;1;1;1;0;Edible;True;False;2
M04;1545;Tree 4;2;2;1;0;Edible;False;True;6
M04;1545;Tree 4;6;3;1;1;Edible;;;
M04;1545;Tree 5;0;0;1;0;Edible;True;False;1
M04;1545;Tree 5;1;1;1;0;Edible;True;False;2
M04;1545;Tree 5;2;2;1;0;Edible;True;False;3
M04;1545;Tree 5;3;3;1;0;Edible;False;True;5
M04;1545;Tree 5;5;4;1;1;Edible;;;
M04;1545;Tree 6;0;0;1;0;Edible;False;True;12
M04;1545;Tree 6;12;1;1;0;Edible;True;False;13
M04;1545;Tree 6;13;2;1;0;Edible;False;True;17
M04;1545;Tree 6;17;3;1;0;Edible;False;True;19
M04;1545;Tree 6;19;4;1;1;Edible;;;
M04;1545;Tree 7;0;0;1;0;Edible;False;True;10
M04;1545;Tree 7;10;1;1;0;Edible;True;False;11
M04;1545;Tree 7;11;2;1;0;Edible;True;False;12
M04;1545;Tree 7;12;3;1;0;Edible;True;False;13
M04;1545;Tree 7;13;4;1;1;Edible;;;
M04;1545;Tree 8;0;0;1;0;Edible;True;False;1
M04;1545;Tree 8;1;1;1;0;Edible;True;False;2
M04;1545;Tree 8;2;2;1;1;Edible;;;
M04;1545;Tree 9;0;0;1;0;Edible;True;False;1
M04;1545;Tree 9;1;1;1;0;Edible;True;False;2
M04;1545;Tree 9;2;2;1;0;Edible;True;False;3
M04;1545;Tree 9;3;3;1;0;Edible;True;False;4
M04;1545;Tree 9;4;4;1;1;Edible;;;
M05;6279;Tree 1;0;0;1;0;Edible;False;True;10
M05;6279;Tree 1;10;1;1;0;Edible;False;True;12
M05;6279;Tree 1;12;2;1;0;Edible;True;False;13
M05;6279;Tree 1;13;3;1;1;Edible;;;
M05;6279;Tree 2;0;0;1;0;Edible;True;False;1
M05;6279;Tree 2;1;1;1;0;Edible;True;False;2
M05;6279;Tree 2;2;2;1;0;Edible;False;True;6
M05;6279;Tree 2;6;3;1;0;Edible;True;False;7
M05;6279;Tree 2;7;4;1;1;Edible;;;
M05;6279;Tree 3;0;0;1;0;Edible;True;False;1
M05;6279;Tree 3;1;1;1;0;Edible;True;False;2
M05;6279;Tree 3;2;2;1;0;Edible;False;True;6
M05;6279;Tree 3;6;3;1;0;Edible;True;False;7
M05;6279;Tree 3;7;4;1;1;Edible;;;
M05;6279;Tree 4;0;0;1;0;Edible;False;True;12
M05;6279;Tree 4;12;1;1;0;Edible;True;False;13
M05;6279;Tree 4;13;2;1;0;Edible;False;True;15
M05;6279;Tree 4;15;3;1;1;Edible;;;
M05;6279;Tree 5;0;0;1;0;Edible;True;False;1
M05;6279;Tree 5;1;1;1;0;Edible;True;False;2
M05;6279;Tree 5;2;2;1;0;Edible;False;True;6
M05;6279;Tree 5;6;3;1;0;Edible;False;True;8
M05;6279;Tree 5;8;4;1;1;Edible;;;
M05;6279;Tree 6;0;0;1;0;Edible;True;False;1
M05;6279;Tree 6;1;1;1;0;Edible;True;False;2
M05;6279;Tree 6;2;2;1;0;Edible;False;True;6
M05;6279;Tree 6;6;3;1;1;Edible;;;
M05;6279;Tree 7;0;0;1;0;Edible;False;True;10
M05;6279;Tree 7;10;1;1;0;Edible;True;False;11
M05;6279;Tree 7;11;2;1;0;Edible;True;False;12
M05;6279;Tree 7;12;3;1;0;Edible;True;False;13
M05;6279;Tree 7;13;4;1;1;Edible;;;
M05;6279;Tree 8;0;0;1;0;Edible;False;True;8
M05;6279;Tree 8;8;1;1;0;Edible;False;True;16
M05;6279;Tree 8;16;2;1;0;Edible;False;True;18
M05;6279;Tree 8;18;3;1;1;Edible;;;
M05;6279;Tree 9;0;0;1;0;Edible;True;False;1
M05;6279;Tree 9;1;1;1;0;Edible;False;True;7
M05;6279;Tree 9;7;2;1;0;Edible;True;False;8
M05;6279;Tree 9;8;3;1;0;Edible;True;False;9
M05;6279;Tree 9;9;4;1;1;Edible;;;
M06;2536;Tree 1;0;0;1;0;Poisonous;False;True;10
M06;2536;Tree 1;10;1;1;0;Poisonous;True;False;11
M06;2536;Tree 1;11;2;1;1;Poisonous;;;
M06;2536;Tree 2;0;0;1;0;Poisonous;False;True;14
M06;2536;Tree 2;14;1;1;1;Poisonous;;;
M06;2536;Tree 3;0;0;1;0;Poisonous;True;False;1
M06;2536;Tree 3;1;1;1;0;Poisonous;True;False;2
M06;2536;Tree 3;2;2;1;0;Poisonous;True;False;3
M06;2536;Tree 3;3;3;1;0;Poisonous;False;True;5
M06;2536;Tree 3;5;4;1;1;Poisonous;;;
M06;2536;Tree 4;0;0;1;0;Poisonous;False;True;12
M06;2536;Tree 4;12;1;1;0;Poisonous;True;False;13
M06;2536;Tree 4;13;2;1;0;Poisonous;True;False;14
M06;2536;Tree 4;14;3;1;1;Poisonous;;;
M06;2536;Tree 5;0;0;1;0;Poisonous;False;True;14
M06;2536;Tree 5;14;1;1;0;Poisonous;True;False;15
M06;2536;Tree 5;15;2;1;0;Poisonous;False;True;17
M06;2536;Tree 5;17;3;1;0;Poisonous;True;False;18
M06;2536;Tree 5;18;4;1;1;Poisonous;;;
M06;2536;Tree 6;0;0;1;0;Poisonous;False;True;12
M06;2536;Tree 6;12;1;1;0;Poisonous;False;True;20
M06;2536;Tree 6;20;2;1;1;Poisonous;;;
M06;2536;Tree 7;0;0;1;0;Poisonous;True;False;1
M06;2536;Tree 7;1;1;1;0;Poisonous;True;False;2
M06;2536;Tree 7;2;2;1;0;Poisonous;True;False;3
M06;2536;Tree 7;3;3;1;0;Poisonous;True;False;4
M06;2536;Tree 7;4;4;1;1;Poisonous;;;
M06;2536;Tree 8;0;0;1;0;Poisonous;False;True;8
M06;2536;Tree 8;8;1;1;0;Poisonous;False;True;16
M06;2536;Tree 8;16;2;1;0;Poisonous;True;False;17
M06;2536;Tree 8;17;3;1;1;Poisonous;;;
M06;2536;Tree 9;0;0;1;0;Poisonous;True;False;1
M06;2536;Tree 9;1;1;1;0;Poisonous;False;True;7
M06;2536;Tree 9;7;2;1;0;Poisonous;False;True;11
M06;2536;Tree 9;11;3;1;0;Poisonous;True;False;12
M06;2536;Tree 9;12;4;1;1;Poisonous;;;
M07;4869;Tree 1;0;0;1;0;Poisonous;False;True;10
M07;4869;Tree 1;10;1;1;0;Poisonous;False;True;12
M07;4869;Tree 1;12;2;1;0;Poisonous;False;True;14
M07;4869;Tree 1;14;3;1;1;Poisonous;;;
M07;4869;Tree 2;0;0;1;0;Poisonous;False;True;14
M07;4869;Tree 2;14;1;1;1;Poisonous;;;
M07;4869;Tree 3;0;0;1;0;Poisonous;True;False;1
M07;4869;Tree 3;1;1;1;0;Poisonous;True;False;2
M07;4869;Tree 3;2;2;1;0;Poisonous;True;False;3
M07;4869;Tree 3;3;3;1;0;Poisonous;False;True;5
M07;4869;Tree 3;5;4;1;1;Poisonous;;;
M07;4869;Tree 4;0;0;1;0;Poisonous;False;True;12
M07;4869;Tree 4;12;1;1;0;Poisonous;False;True;16
M07;4869;Tree 4;16;2;1;1;Poisonous;;;
M07;4869;Tree 5;0;0;1;0;Poisonous;False;True;14
M07;4869;Tree 5;14;1;1;0;Poisonous;True;False;15
M07;4869;Tree 5;15;2;1;0;Poisonous;False;True;17
M07;4869;Tree 5;17;3;1;0;Poisonous;True;False;18
M07;4869;Tree 5;18;4;1;1;Poisonous;;;
M07;4869;Tree 6;0;0;1;0;Poisonous;False;True;12
M07;4869;Tree 6;12;1;1;0;Poisonous;False;True;20
M07;4869;Tree 6;20;2;1;1;Poisonous;;;
M07;4869;Tree 7;0;0;1;0;Poisonous;True;False;1
M07;4869;Tree 7;1;1;1;0;Poisonous;True;False;2
M07;4869;Tree 7;2;2;1;0;Poisonous;True;False;3
M07;4869;Tree 7;3;3;1;0;Poisonous;True;False;4
M07;4869;Tree 7;4;4;1;1;Poisonous;;;
M07;4869;Tree 8;0;0;1;0;Poisonous;False;True;8
M07;4869;Tree 8;8;1;1;0;Poisonous;False;True;16
M07;4869;Tree 8;16;2;1;0;Poisonous;True;False;17
M07;4869;Tree 8;17;3;1;1;Poisonous;;;
M07;4869;Tree 9;0;0;1;0;Poisonous;True;False;1
M07;4869;Tree 9;1;1;1;0;Poisonous;False;True;7
M07;4869;Tree 9;7;2;1;0;Poisonous;False;True;11
M07;4869;Tree 9;11;3;1;0;Poisonous;True;False;12
M07;4869;Tree 9;12;4;1;1;Poisonous;;;
M08;4722;Tree 1;0;0;1;0;Poisonous;False;True;10
M08;4722;Tree 1;10;1;1;0;Poisonous;False;True;12
M08;4722;Tree 1;12;2;1;0;Poisonous;False;True;14
M08;4722;Tree 1;14;3;1;1;Poisonous;;;
M08;4722;Tree 2;0;0;1;0;Poisonous;False;True;14
M08;4722;Tree 2;14;1;1;1;Poisonous;;;
M08;4722;Tree 3;0;0;1;0;Poisonous;True;False;1
M08;4722;Tree 3;1;1;1;0;Poisonous;True;False;2
M08;4722;Tree 3;2;2;1;0;Poisonous;True;False;3
M08;4722;Tree 3;3;3;1;0;Poisonous;False;True;5
M08;4722;Tree 3;5;4;1;1;Poisonous;;;
M08;4722;Tree 4;0;0;1;0;Poisonous;True;False;1
M08;4722;Tree 4;1;1;1;0;Poisonous;False;True;7
M08;4722;Tree 4;7;2;1;0;Poisonous;True;False;8
M08;4722;Tree 4;8;3;1;1;Poisonous;;;
M08;4722;Tree 5;0;0;1;0;Poisonous;False;True;14
M08;4722;Tree 5;14;1;1;0;Poisonous;True;False;15
M08;4722;Tree 5;15;2;1;0;Poisonous;False;True;17
M08;4722;Tree 5;17;3;1;0;Poisonous;True;False;18
M08;4722;Tree 5;18;4;1;1;Poisonous;;;
M08;4722;Tree 6;0;0;1;0;Poisonous;False;True;12
M08;4722;Tree 6;12;1;1;0;Poisonous;False;True;20
M08;4722;Tree 6;20;2;1;1;Poisonous;;;
M08;4722;Tree 7;0;0;1;0;Poisonous;True;False;1
M08;4722;Tree 7;1;1;1;0;Poisonous;True;False;2
M08;4722;Tree 7;2;2;1;0;Poisonous;True;False;3
M08;4722;Tree 7;3;3;1;0;Poisonous;True;False;4
M08;4722;Tree 7;4;4;1;1;Poisonous;;;
M08;4722;Tree 8;0;0;1;0;Poisonous;False;True;8
M08;4722;Tree 8;8;1;1;0;Poisonous;False;True;16
M08;4722;Tree 8;16;2;1;0;Poisonous;True;False;17
M08;4722;Tree 8;17;3;1;1;Poisonous;;;
M08;4722;Tree 9;0;0;1;0;Poisonous;True;False;1
M08;4722;Tree 9;1;1;1;0;Poisonous;False;True;7
M08;4722;Tree 9;7;2;1;0;Poisonous;False;True;11
M08;4722;Tree 9;11;3;1;0;Poisonous;True;False;12
M08;4722;Tree 9;12;4;1;1;Poisonous;;;
M09;5324;Tree 1;0;0;1;0;Poisonous;False;True;10
M09;5324;Tree 1;10;1;1;0;Poisonous;False;True;12
M09;5324;Tree 1;12;2;1;0;Poisonous;False;True;14
M09;5324;Tree 1;14;3;1;1;Poisonous;;;
M09;5324;Tree 2;0;0;1;0;Poisonous;False;True;14
M09;5324;Tree 2;14;1;1;1;Poisonous;;;
M09;5324;Tree 3;0;0;1;0;Poisonous;True;False;1
M09;5324;Tree 3;1;1;1;0;Poisonous;True;False;2
M09;5324;Tree 3;2;2;1;0;Poisonous;True;False;3
M09;5324;Tree 3;3;3;1;0;Poisonous;False;True;5
M09;5324;Tree 3;5;4;1;1;Poisonous;;;
M09;5324;Tree 4;0;0;1;0;Poisonous;True;False;1
M09;5324;Tree 4;1;1;1;0;Poisonous;False;True;7
M09;5324;Tree 4;7;2;1;0;Poisonous;False;True;9
M09;5324;Tree 4;9;3;1;0;Poisonous;False;True;11
M09;5324;Tree 4;11;4;1;1;Poisonous;;;
M09;5324;Tree 5;0;0;1;0;Poisonous;False;True;14
M09;5324;Tree 5;14;1;1;0;Poisonous;True;False;15
M09;5324;Tree 5;15;2;1;0;Poisonous;False;True;17
M09;5324;Tree 5;17;3;1;0;Poisonous;True;False;18
M09;5324;Tree 5;18;4;1;1;Poisonous;;;
M09;5324;Tree 6;0;0;1;0;Poisonous;False;True;12
M09;5324;Tree 6;12;1;1;0;Poisonous;False;True;20
M09;5324;Tree 6;20;2;1;1;Poisonous;;;
M09;5324;Tree 7;0;0;1;0;Poisonous;True;False;1
M09;5324;Tree 7;1;1;1;0;Poisonous;True;False;2
M09;5324;Tree 7;2;2;1;0;Poisonous;True;False;3
M09;5324;Tree 7;3;3;1;0;Poisonous;True;False;4
M09;5324;Tree 7;4;4;1;1;Poisonous;;;
M09;5324;Tree 8;0;0;1;0;Poisonous;False;True;8
M09;5324;Tree 8;8;1;1;0;Poisonous;False;True;16
M09;5324;Tree 8;16;2;1;0;Poisonous;True;False;17
M09;5324;Tree 8;17;3;1;1;Poisonous;;;
M09;5324;Tree 9;0;0;1;0;Poisonous;True;False;1
M09;5324;Tree 9;1;1;1;0;Poisonous;False;True;7
M09;5324;Tree 9;7;2;1;0;Poisonous;False;True;11
M09;5324;Tree 9;11;3;1;0;Poisonous;True;False;12
M09;5324;Tree 9;12;4;1;1;Poisonous;;;
M10;1816;Tree 1;0;0;1;0;Poisonous;False;True;10
M10;1816;Tree 1;10;1;1;0;Poisonous;True;False;11
M10;1816;Tree 1;11;2;1;1;Poisonous;;;
M10;1816;Tree 2;0;0;1;0;Poisonous;False;True;14
M10;1816;Tree 2;14;1;1;1;Poisonous;;;
M10;1816;Tree 3;0;0;1;0;Poisonous;True;False;1
M10;1816;Tree 3;1;1;1;0;Poisonous;True;False;2
M10;1816;Tree 3;2;2;1;0;Poisonous;True;False;3
M10;1816;Tree 3;3;3;1;0;Poisonous;False;True;5
M10;1816;Tree 3;5;4;1;1;Poisonous;;;
M10;1816;Tree 4;0;0;1;0;Poisonous;False;True;12
M10;1816;Tree 4;12;1;1;0;Poisonous;True;False;13
M10;1816;Tree 4;13;2;1;0;Poisonous;True;False;14
M10;1816;Tree 4;14;3;1;1;Poisonous;;;
M10;1816;Tree 5;0;0;1;0;Poisonous;True;False;1
M10;1816;Tree 5;1;1;1;0;Poisonous;True;False;2
M10;1816;Tree 5;2;2;1;0;Poisonous;True;False;3
M10;1816;Tree 5;3;3;1;0;Poisonous;True;False;4
M10;1816;Tree 5;4;4;1;1;Poisonous;;;
M10;1816;Tree 6;0;0;1;0;Poisonous;False;True;12
M10;1816;Tree 6;12;1;1;0;Poisonous;False;True;20
M10;1816;Tree 6;20;2;1;1;Poisonous;;;
M10;1816;Tree 7;0;0;1;0;Poisonous;True;False;1
M10;1816;Tree 7;1;1;1;0;Poisonous;True;False;2
M10;1816;Tree 7;2;2;1;0;Poisonous;True;False;3
M10;1816;Tree 7;3;3;1;0;Poisonous;True;False;4
M10;1816;Tree 7;4;4;1;1;Poisonous;;;
M10;1816;Tree 8;0;0;1;0;Poisonous;False;True;8
M10;1816;Tree 8;8;1;1;0;Poisonous;False;True;16
M10;1816;Tree 8;16;2;1;0;Poisonous;True;False;17
M10;1816;Tree 8;17;3;1;1;Poisonous;;;
M10;1816;Tree 9;0;0;1;0;Poisonous;True;False;1
M10;1816;Tree 9;1;1;1;0;Poisonous;False;True;7
M10;1816;Tree 9;7;2;1;0;Poisonous;False;True;11
M10;1816;Tree 9;11;3;1;0;Poisonous;True;False;12
M10;1816;Tree 9;12;4;1;1;Poisonous;;;
M11;36;Tree 1;0;0;1;0;Edible;True;False;1
M11;36;Tree 1;1;1;1;0;Edible;True;False;2
M11;36;Tree 1;2;2;1;0;Edible;True;False;3
M11;36;Tree 1;3;3;1;0;Edible;True;False;4
M11;36;Tree 1;4;4;1;1;Edible;;;
M11;36;Tree 2;0;0;1;0;Poisonous;True;False;1
M11;36;Tree 2;1;1;1;0;Poisonous;False;True;9
M11;36;Tree 2;9;2;1;0;Poisonous;True;False;10
M11;36;Tree 2;10;3;1;0;Poisonous;True;False;11
M11;36;Tree 2;11;4;1;1;Poisonous;;;
M11;36;Tree 3;0;0;1;0;Edible;False;True;10
M11;36;Tree 3;10;1;1;0;Edible;False;True;18
M11;36;Tree 3;18;2;1;0;Edible;True;False;19
M11;36;Tree 3;19;3;1;1;Edible;;;
M11;36;Tree 4;0;0;1;0;Poisonous;True;False;1
M11;36;Tree 4;1;1;1;0;Poisonous;True;False;2
M11;36;Tree 4;2;2;1;0;Poisonous;True;False;3
M11;36;Tree 4;3;3;1;0;Poisonous;False;True;5
M11;36;Tree 4;5;4;1;1;Poisonous;;;
M11;36;Tree 5;0;0;1;0;Poisonous;False;True;14
M11;36;Tree 5;14;1;1;0;Poisonous;False;True;20
M11;36;Tree 5;20;2;1;0;Poisonous;True;False;21
M11;36;Tree 5;21;3;1;0;Poisonous;True;False;22
M11;36;Tree 5;22;4;1;1;Poisonous;;;
M11;36;Tree 6;0;0;1;0;Edible;False;True;12
M11;36;Tree 6;12;1;1;0;Edible;True;False;13
M11;36;Tree 6;13;2;1;0;Edible;False;True;17
M11;36;Tree 6;17;3;1;0;Edible;True;False;18
M11;36;Tree 6;18;4;1;1;Edible;;;
M11;36;Tree 7;0;0;1;0;Edible;False;True;10
M11;36;Tree 7;10;1;1;0;Edible;True;False;11
M11;36;Tree 7;11;2;1;0;Edible;True;False;12
M11;36;Tree 7;12;3;1;0;Edible;True;False;13
M11;36;Tree 7;13;4;1;1;Edible;;;
M11;36;Tree 8;0;0;1;0;Poisonous;False;True;8
M11;36;Tree 8;8;1;1;0;Poisonous;True;False;9
M11;36;Tree 8;9;2;1;0;Poisonous;True;False;10
M11;36;Tree 8;10;3;1;0;Poisonous;True;False;11
M11;36;Tree 8;11;4;1;1;Poisonous;;;
M11;36;Tree 9;0;0;1;0;Edible;True;False;1
M11;36;Tree 9;1;1;1;0;Edible;False;True;7
M11;36;Tree 9;7;2;1;0;Edible;False;True;11
M11;36;Tree 9;11;3;1;0;Edible;False;True;13
M11;36;Tree 9;13;4;1;1;Edible;;;
M12;35;Tree 1;0;0;1;0;Edible;True;False;1
M12;35;Tree 1;1;1;1;0;Edible;True;False;2
M12;35;Tree 1;2;2;1;0;Edible;True;False;3
M12;35;Tree 1;3;3;1;0;Edible;True;False;4
M12;35;Tree 1;4;4;1;1;Edible;;;
M12;35;Tree 2;0;0;1;0;Poisonous;True;False;1
M12;35;Tree 2;1;1;1;0;Poisonous;False;True;9
M12;35;Tree 2;9;2;1;0;Poisonous;True;False;10
M12;35;Tree 2;10;3;1;0;Poisonous;True;False;11
M12;35;Tree 2;11;4;1;1;Poisonous;;;
M12;35;Tree 3;0;0;1;0;Edible;False;True;10
M12;35;Tree 3;10;1;1;0;Edible;False;True;18
M12;35;Tree 3;18;2;1;0;Edible;True;False;19
M12;35;Tree 3;19;3;1;1;Edible;;;
M12;35;Tree 4;0;0;1;0;Poisonous;True;False;1
M12;35;Tree 4;1;1;1;0;Poisonous;True;False;2
M12;35;Tree 4;2;2;1;0;Poisonous;True;False;3
M12;35;Tree 4;3;3;1;0;Poisonous;False;True;5
M12;35;Tree 4;5;4;1;1;Poisonous;;;
M12;35;Tree 5;0;0;1;0;Edible;False;True;14
M12;35;Tree 5;14;1;1;0;Edible;False;True;20
M12;35;Tree 5;20;2;1;0;Edible;False;True;24
M12;35;Tree 5;24;3;1;0;Edible;False;True;26
M12;35;Tree 5;26;4;1;1;Edible;;;
M12;35;Tree 6;0;0;1;0;Poisonous;True;False;1
M12;35;Tree 6;1;1;1;0;Poisonous;False;True;7
M12;35;Tree 6;7;2;1;0;Poisonous;True;False;8
M12;35;Tree 6;8;3;1;0;Poisonous;False;True;10
M12;35;Tree 6;10;4;1;1;Poisonous;;;
M12;35;Tree 7;0;0;1;0;Poisonous;True;False;1
M12;35;Tree 7;1;1;1;0;Poisonous;True;False;2
